experiment,model_label,method,condition,check,qid,pid_i,pid_j,k,actual_k,trial,g,g_perturbed,delta_g,abs_g_gap,preference_flipped,sign_preserved
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,10,10,0,15.007686138153076,-0.0007648468017578125,15.008450984954834,15.008450984954834,1,0
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,10,10,1,15.007686138153076,0.0008916854858398438,15.006794452667236,15.006794452667236,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,10,10,2,15.007686138153076,-0.1342945098876953,15.141980648040771,15.141980648040771,1,0
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,10,10,3,15.007686138153076,-0.20777511596679688,15.215461254119873,15.215461254119873,1,0
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,10,10,4,15.007686138153076,0.854649543762207,14.15303659439087,14.15303659439087,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,10,10,5,15.007686138153076,0.045294761657714844,14.962391376495361,14.962391376495361,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,10,10,6,15.007686138153076,-0.5206699371337891,15.528356075286865,15.528356075286865,1,0
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,10,10,7,15.007686138153076,-0.0055332183837890625,15.013219356536865,15.013219356536865,1,0
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,10,10,8,15.007686138153076,0.39310455322265625,14.61458158493042,14.61458158493042,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,10,10,9,15.007686138153076,-0.1016397476196289,15.109325885772705,15.109325885772705,1,0
cross_encoder,Cross-encoder,pairwise_ig,explanation,deletion,1001108,7870036,302808,20,20,0,15.007686138153076,14.122450351715088,0.8852357864379883,0.8852357864379883,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,20,20,0,15.007686138153076,14.859994411468506,0.1476917266845703,0.1476917266845703,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,20,20,1,15.007686138153076,15.360862255096436,-0.3531761169433594,0.3531761169433594,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,20,20,2,15.007686138153076,14.139317989349365,0.8683681488037109,0.8683681488037109,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,20,20,3,15.007686138153076,15.177875518798828,-0.17018938064575195,0.17018938064575195,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,20,20,4,15.007686138153076,14.470630645751953,0.537055492401123,0.537055492401123,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,20,20,5,15.007686138153076,14.096274852752686,0.9114112854003906,0.9114112854003906,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,20,20,6,15.007686138153076,14.893562316894531,0.11412382125854492,0.11412382125854492,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,20,20,7,15.007686138153076,14.621208190917969,0.3864779472351074,0.3864779472351074,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,20,20,8,15.007686138153076,15.05711841583252,-0.04943227767944336,0.04943227767944336,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,deletion,1001108,7870036,302808,20,20,9,15.007686138153076,13.015819072723389,1.9918670654296875,1.9918670654296875,0,1
cross_encoder,Cross-encoder,pairwise_ig,explanation,preservation,1001108,7870036,302808,20,20,0,15.007686138153076,5.722328186035156,9.28535795211792,9.28535795211792,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,20,20,0,15.007686138153076,0.09785652160644531,14.90982961654663,14.90982961654663,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,20,20,1,15.007686138153076,-0.7449970245361328,15.752683162689209,15.752683162689209,1,0
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,20,20,2,15.007686138153076,-3.0111780166625977,18.018864154815674,18.018864154815674,1,0
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,20,20,3,15.007686138153076,0.03304767608642578,14.97463846206665,14.97463846206665,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,20,20,4,15.007686138153076,-0.0010423660278320312,15.008728504180908,15.008728504180908,1,0
