experiment,model_label,method,condition,check,k,n_queries,mean_actual_k,mean_delta_g,delta_g_ci_low,delta_g_ci_high,mean_abs_g_gap,abs_g_gap_ci_low,abs_g_gap_ci_high,flip_rate,flip_rate_ci_low,flip_rate_ci_high,sign_preservation_rate,sign_preservation_ci_low,sign_preservation_ci_high
duot5,DuoT5,loo_pointwise,explanation,preservation,20,150,20.0,-4.980540580749512,-5.977771064440409,-3.993368945121765,6.271020825703939,5.452569346268971,7.065117848714192,0.19333333333333333,0.14,0.26,0.8066666666666666,0.7466666666666667,0.8666666666666667
duot5,DuoT5,loo_pointwise,random,preservation,1,150,1.0,3.1323792711893717,2.335344442367554,3.9638808570861817,4.933871401468912,4.350824454442659,5.46427296025753,0.45866666666666656,0.42066666666666674,0.49799999999999994,0.5413333333333334,0.5006499999999999,0.5826666666666666
duot5,DuoT5,loo_pointwise,random,preservation,3,150,3.0,2.4217268066406255,1.5445895130793255,3.2252096625248585,5.25060258102417,4.808227802586556,5.782063895901044,0.42933333333333334,0.3939833333333333,0.4679999999999999,0.5706666666666667,0.5339999999999999,0.6079999999999999
duot5,DuoT5,loo_pointwise,random,preservation,5,150,5.0,1.5008298025131224,0.647464865966638,2.357461233603954,5.706822623570761,5.278406174858411,6.133362900416056,0.3773333333333333,0.34331666666666666,0.41468333333333335,0.6226666666666666,0.5893166666666666,0.66135
duot5,DuoT5,loo_pointwise,random,preservation,10,150,10.0,-0.12171650473276775,-1.0561004195491475,0.7083982757449148,6.215618347167968,5.803284710053604,6.619597721846898,0.35133333333333333,0.30796666666666667,0.40135000000000004,0.6486666666666667,0.6039833333333333,0.6966833333333333
duot5,DuoT5,loo_pointwise,random,preservation,20,150,20.0,-2.4325114561716714,-3.2971180491606393,-1.57770664498806,6.2398734511137,5.717847206163406,6.813614719505111,0.2806666666666666,0.23600000000000004,0.3300833333333333,0.7193333333333334,0.6693166666666667,0.7666833333333334
duot5,DuoT5,pairwise_ig,explanation,preservation,1,150,1.0,18.33524294734001,17.3968367985785,19.21285984215637,18.33524294734001,17.447856398448348,19.22617323990663,0.9333333333333333,0.8933333333333333,0.9733333333333334,0.06666666666666667,0.03333333333333333,0.10666666666666667
duot5,DuoT5,pairwise_ig,explanation,preservation,3,150,3.0,14.704775040547053,13.71814017546177,15.77584357013305,14.729720153411229,13.754358024463057,15.72933566413323,0.72,0.6466666666666666,0.7866666666666666,0.28,0.21333333333333335,0.35333333333333333
duot5,DuoT5,pairwise_ig,explanation,preservation,5,150,5.0,11.787086270252864,10.579849636937182,12.97774353949229,12.20545160929362,11.1248551312536,13.322986103584368,0.54,0.46,0.6133333333333333,0.46,0.38,0.54
duot5,DuoT5,pairwise_ig,explanation,preservation,10,150,10.0,7.658235716422399,6.374483547354738,8.920719858914614,8.877884849707286,7.917245168546836,9.92594680288434,0.37333333333333335,0.3,0.44666666666666666,0.6266666666666667,0.5466666666666666,0.7
